,자치구,동,공원수,유치원,초등학교,중학교,고등학교,특수학교,학원,여가시설,음식점,의료시설,공기오염도,cctv,노인복지시설,체육시설,공공도서관
299,금천구,독산4동,2.492319508,0.860983103,0.815668203,0.407834101,0.271889401,0,36,18,165,7,0.089496928,69.15053763,3.851766513,0.589093702,0.181259601
300,금천구,시흥1동,7.223502304,2.495391705,2.3640553,1.18202765,0.788018433,0,128,77,589,59,0.259389401,200.4193548,11.16359447,1.707373272,0.525345622
301,금천구,시흥2동,5.322580645,1.838709677,1.741935484,0.870967742,0.580645161,0,72,2,52,25,0.191129032,147.6774194,8.225806452,1.258064516,0.387096774
302,금천구,시흥3동,4.519969278,1.561443932,1.479262673,0.739631336,0.493087558,0,24,15,139,9,0.162307988,125.4086022,6.985407066,1.068356375,0.328725038
303,금천구,시흥4동,3.675115207,1.269585253,1.202764977,0.601382488,0.400921659,0,83,12,115,45,0.131970046,101.9677419,5.679723502,0.868663594,0.267281106
304,금천구,시흥5동,5.871735791,2.028417819,1.921658986,0.960829493,0.640552995,0,73,35,182,31,0.210848694,162.9139785,9.074500768,1.387864823,0.42703533
306,영등포구,여의동,36.95315682,14.02851324,7.869653768,3.763747454,3.079429735,0,123,53,1577,162,0.81857788,629.2301426,70.14256619,11.97556008,1.710794297
307,영등포구,당산1동,3.299389002,1.252545825,0.702647658,0.33604888,0.274949084,0,53,35,439,38,0.073087311,56.18126273,6.262729124,1.069246436,0.152749491
308,영등포구,당산2동,6.818737271,2.588594705,1.452138493,0.694501018,0.568228106,0,79,35,342,67,0.151047109,116.107943,12.94297352,2.209775967,0.315682281
309,영등포구,양평1동,3.871283096,1.469653768,0.824439919,0.394297352,0.322606925,0,59,20,350,26,0.085755778,65.91934827,7.348268839,1.254582485,0.179226069
310,영등포구,양평2동,13.19755601,5.010183299,2.810590631,1.344195519,1.099796334,0,75,28,383,23,0.292349243,224.7250509,25.0509165,4.276985743,0.610997963
311,영등포구,신길1동,2.903462322,1.102240326,0.618329939,0.295723014,0.241955193,0,44,32,160,21,0.064316833,49.4395112,5.511201629,0.940936864,0.134419552
312,영등포구,신길3동,2.287576375,0.868431772,0.487169043,0.23299389,0.190631365,0,25,19,135,35,0.050673869,38.95234216,4.342158859,0.741344196,0.105906314
313,영등포구,신길4동,1.539714868,0.584521385,0.32790224,0.156822811,0.128309572,0,17,1,56,6,0.034107412,26.21792261,2.922606925,0.49898167,0.071283096
314,영등포구,신길5동,2.067617108,0.784928717,0.440325866,0.210590631,0.172301426,0,13,12,57,6,0.045801381,35.20692464,3.924643585,0.6700611,0.095723014
315,영등포구,신길6동,2.991446029,1.135641548,0.63706721,0.304684318,0.249287169,0,40,12,156,22,0.066265828,50.93767821,5.678207739,0.969450102,0.138492872
