,Unnamed: 0,자치구,동,공원수,유치원,초등학교,중학교,고등학교,특수학교,학원,여가시설,음식점,의료시설,공기오염도,cctv,노인복지시설,체육시설,공공도서관
131,142,강북구,번2동,0.11511962666196744,0.10902838965401632,0.0940712977450192,0.13661794828339102,0.08860256167832643,0.41639346020959983,0.06713554987212277,0.060716454159077116,0.046476544583196826,0.05913342651327814,0.1378605055023975,0.07818712534861504,0.11945788991088416,0.08135627050419743,0.15652167552028784
132,143,강북구,번3동,0.13329640979342225,0.1262433985586351,0.10892466057322067,0.15818920309688028,0.10259243970566674,0.48213979385446515,0.07352941176470588,0.060716454159077116,0.046476544583196826,0.06450919255993978,0.15962795299788757,0.09053246094294293,0.13831966200608123,0.09420199742591281,0.1812356240527647
133,144,강북구,수유1동,0.20236818579757784,0.1916604323510449,0.16536743918684746,0.24015997206691492,0.15575397683843825,0.7319758727386492,0.0959079283887468,0.10408534998698933,0.13790581261571516,0.08601225674658639,0.24234425670197984,0.13744473614800554,0.20999439593232055,0.1430157598092737,0.27514862958712755
134,145,강북구,수유2동,0.06907177600415562,0.06541703379240979,0.0564427786136268,0.08197076897003464,0.053161537132771525,0.24983607543615388,0.210997442455243,0.19082314164281378,0.1828585360650367,0.16664874744651112,0.08271630370409225,0.04691227520506261,0.0716747339516033,0.0488137623833609,0.09391300553436287
135,146,강북구,수유3동,0.08724855913561043,0.08263204269702856,0.07129614144182829,0.10354202378352387,0.06715141516011183,0.3155824125290492,0.08312020460358056,0.6505334374186833,0.4327652020205869,0.24728523814643585,0.10448375119958232,0.0592576107993905,0.09053650602143638,0.06165948930507628,0.11862695406683972
136,147,강북구,삼양동,0.11027248448195423,0.10443772062783184,0.09011040092406272,0.1308656134402021,0.0848719274328893,0.39886110319175705,0.159846547314578,0.078064012490242,0.092191178599456,0.13976991721320287,0.13205585310536933,0.07489503586090068,0.11442808401375883,0.07793074343286324,0.14993128905980221
137,148,강북구,미아동,0.11269605555452294,0.10673305514092407,0.09209084933454095,0.1337417809923303,0.08673724471282744,0.40762728170067847,0.08631713554987212,0.16480180414606643,0.2080015847739792,0.20427910977314268,0.1349581793038834,0.07654108061502389,0.1169429869496395,0.07964350696853034,0.15322648256778273
138,149,강북구,송중동,0.12239033991454933,0.11591439319329304,0.10001264280953039,0.14524645015657325,0.09419851288926255,0.44269199573636403,0.23017902813299232,0.36429872495446264,0.36495516156313573,0.34942479303300716,0.1465674840979398,0.0831252595904526,0.1270025987438902,0.0864945613806735,0.16640725493327857
139,150,강북구,송천동,0.10906069892823197,0.10329005331485876,0.08912017680228536,0.12942752992520548,0.08393926910735938,0.3944780156613115,0.1694373401534527,0.16480180414606643,0.3070499584758741,0.29029136651972903,0.1306046889994779,0.07407201350437113,0.11317063254581848,0.07707436153029229,0.14828369286128737
140,151,강북구,삼각산동,0.0751307037030153,0.07115537013156736,0.06139389955636065,0.0891611873282202,0.057824829703738576,0.27175151998444236,0.13107416879795397,0.060716454159077116,0.0662862193235758,0.12364261907321793,0.08997212020701184,0.051027387069838566,0.07796199131666898,0.05309567135726603,0.10215098819336337
141,152,강북구,우이동,1.245715538972991,1.1798019428893225,1.017950464123455,1.4783500079684815,0.9587729831543123,4.505815543255752,0.06713554987212277,0.1734755833116489,0.20419203193929097,0.09676378883990969,1.4917957848190997,0.8460669985273783,1.292660113912556,0.8803604854930015,1.6937292886827087
142,153,강북구,인수동,0.39746565834257386,0.3764348610499591,0.32479353330918376,0.4716914422606477,0.30591200246594036,1.437653209950534,0.1758312020460358,0.08673779165582444,0.13714390204877752,0.10213955488657134,0.47598153480841743,0.2699513380747055,0.41244408305699903,0.2808932288768088,0.5404116797612644
143,155,도봉구,쌍문1동,0.16536453616385668,0.20997607600902754,0.23042876985249983,0.20369835614901444,0.18872437864692074,0.2069485604659086,0.1758312020460358,0.052042674993494666,0.11961995900921149,0.11826685302655628,0.2446910838037494,0.1107856645149238,0.2268271371579416,0.2345187314083813,0.23337495884119472
144,156,도봉구,쌍문2동,0.07201358831929622,0.09144119441287082,0.10034801266423997,0.08870734863711699,0.08218642294392808,0.09012276137077684,0.24296675191815856,0.14745424581490155,0.1485725605528423,0.19352757767981937,0.1065590205609814,0.04824537002572519,0.09877955972516217,0.1021291249616465,0.10163103042726382
145,157,도봉구,쌍문3동,0.06667924845541806,0.08466777261704936,0.09291482649150411,0.08213643404895564,0.07609853983277176,0.08344699935366556,0.18222506393861893,0.060716454159077116,0.11961995900921149,0.15589721535318782,0.09866575888390038,0.04467163891498985,0.09146255529825786,0.09456400462405877,0.09410280593059703
146,158,도봉구,쌍문4동,0.06934641836991927,0.08805448345853312,0.09663141957787202,0.08542189121250258,0.07914248138834994,0.08678487863820618,0.3292838874680307,0.04336889582791222,0.05714329252032396,0.053757660466616494,0.1026123897224409,0.046458504480623546,0.095121057524392,0.09834656479285264,0.09786691790119272
147,159,도봉구,방학1동,0.09201736285243406,0.11684152617541484,0.12822246056161413,0.11334827893012395,0.10501598492520355,0.11515685945286148,0.20460358056265981,0.36429872495446264,0.3230500803815648,0.27953983442640573,0.13615874782349777,0.061646861706381756,0.12621832631971233,0.13049832636233785,0.12986187215089537
148,160,도봉구,방학2동,0.09868528770843861,0.1253083033919782,0.1375139433609957,0.12156192236112626,0.11262583881414896,0.12350156111224306,0.16624040920716113,0.09541157082140689,0.1211437801430868,0.09676378883990969,0.14602532491984904,0.06611402559993396,0.1353645818343197,0.13995472678432253,0.13927215291059772
149,161,도봉구,방학3동,0.35206643171347446,0.44704583920134094,0.4905902842290195,0.4336803711728092,0.40180029005290596,0.4406001621042023,0.2845268542199489,0.060716454159077116,0.0807625200953912,0.12901838511987956,0.5209552123025541,0.23586625347278897,0.4829222919220445,0.4992979444365883,0.49686281511358116
150,162,도봉구,창1동,0.11735547728432588,0.14901527973378034,0.16353009479864766,0.14456012381129224,0.1339334300176353,0.1468667195520574,0.1374680306905371,0.1387804666493191,0.09447691030026895,0.17202451349317277,0.17365173676309514,0.07862208449777368,0.16097409734116677,0.16643264810061698,0.1656209383711937
151,163,도봉구,창2동,0.14269359168134188,0.18118903329214583,0.19883772886875772,0.17577196869246056,0.1628508751100671,0.17857657965125334,0.25895140664961636,0.1387804666493191,0.14476300771815404,0.15589721535318782,0.21114472570269252,0.09559730728916557,0.19572986833725725,0.2023669698388961,0.20138000459149208
152,164,도봉구,창3동,0.08935019293793288,0.11345481522107712,0.12450586764216971,0.1100628215055095,0.10197204336962538,0.11181898016832087,0.1278772378516624,0.10408534998698933,0.15314402395446822,0.12901838511987956,0.132212118998226,0.05985999616128012,0.12255982409357818,0.126715766193544,0.12609775962482428
153,165,도봉구,창4동,0.1280241570120822,0.16256212332542327,0.17839646697719586,0.15770195324868244,0.14610919623994803,0.16021824013824992,0.2781329923273657,0.13010668748373666,0.12038186957614916,0.17202451349317277,0.18943825810398843,0.08576954671924436,0.17560810616961142,0.1815628889105298,0.1806773873645273
154,166,도봉구,창5동,0.09335094784456047,0.11853488159615673,0.13008075718825984,0.1149910075118974,0.10653795570299263,0.1168257990951318,0.31010230179028136,0.1994969208083962,0.14628682885202937,0.27953983442640573,0.13813206324276803,0.06254029448919861,0.1280475774327794,0.1323896064467348,0.13174392841393093
155,167,도봉구,도봉1동,1.1628860927667446,1.4766059539718681,1.6204345749733111,1.4324594078923296,1.327158533325162,1.4553156852784717,0.13427109974424553,0.2949084916298031,0.2598115033257396,0.17740027953983442,1.7207308503165955,0.7790733828383942,1.5951069645578593,1.6491962400615197,1.6411529347186034
156,168,도봉구,도봉2동,0.11068755242832132,0.14054850240436303,0.1542386119992661,0.13634648038028993,0.12632357612868989,0.1385220213407059,0.1438618925831202,0.078064012490242,0.16533459302547066,0.09676378883990969,0.16378516168001261,0.07415492060422149,0.15182784180119538,0.1569762476786323,0.1562106576114914
157,170,노원구,월계1동,0.20661734120852338,0.25857055614081986,0.22947272014698494,0.22217256438348312,0.257300672059059,0.22571754311802658,0.18861892583120204,0.28623471246422066,0.2636210561604279,0.22578217395978925,0.1272815997011986,0.10591390888050865,0.21917225597860224,0.17640562848990013,0.1999962292217689
