,동,0~4세,5~9세,10~14세,15~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상+
350,방배본동,0.165262166,0.283337057,0.354517157,0.347963404,0.36073651,0.32329699,0.51072383,0.434678226,0.361625267,0.380194768,0.449602442,0.53468289,0.091519219
351,방배1동,0.201797397,0.172726629,0.155101256,0.181785631,0.338115861,0.406570328,0.366740979,0.312494618,0.340694063,0.372753289,0.327949567,0.391011243,0.198291641
352,방배2동,0.190870973,0.1773581,0.205822838,0.205426944,0.382875465,0.422191941,0.396177125,0.413055205,0.456953861,0.468144385,0.394161102,0.480831611,0.183038438
353,방배3동,0.213406722,0.209233519,0.227446248,0.276121356,0.3837433,0.398283346,0.422184384,0.456973784,0.510880104,0.461750853,0.43963936,0.543948727,0.061012813
354,방배4동,0.240722783,0.280340222,0.335296348,0.320420127,0.428331631,0.480998029,0.555344034,0.445156609,0.38319089,0.463993043,0.437326358,0.417463882,0.183038438
355,양재1동,0.563393747,0.757926627,0.631083253,0.439774329,0.720615962,0.921723252,1.005461676,0.800999081,0.91008732,0.830508107,0.76651668,1.020096243,0.076266016
356,양재2동,0.241405684,0.227486964,0.209293262,0.20404978,0.446554584,0.599361169,0.493499221,0.422986114,0.415096474,0.364642408,0.262942772,0.417862753,0.106772422
357,내곡동,0.287842987,0.355805958,0.186602028,0.128764822,0.263235026,0.374880504,0.383872318,0.323025213,0.394720391,0.41004584,0.372054429,0.395444725,0.167785235
358,신사동,0.138629007,0.164281005,0.217034977,0.210706072,0.321154969,0.33147637,0.389314821,0.316708895,0.293822915,0.401802561,0.44201268,0.425783719,0.152532032
359,논현1동,0.130092738,0.101892365,0.104112719,0.129223876,0.629729952,0.796507623,0.501449691,0.361390643,0.377862783,0.386187953,0.360742108,0.384286888,0.28981086
360,논현2동,0.18540776,0.168367597,0.151096921,0.174899811,0.466363629,0.609715443,0.475755321,0.371589292,0.364501191,0.428310884,0.340430467,0.49358493,0.28981086
361,삼성1동,0.150579783,0.133222905,0.168182085,0.185458068,0.287206792,0.290699809,0.307780906,0.308679669,0.293840354,0.293065909,0.219139058,0.292722779,0.122025625
362,삼성2동,0.332231586,0.420101674,0.487194136,0.382162974,0.518349391,0.672274409,0.82769296,0.512607722,0.397049795,0.477004453,0.35893507,0.376913052,0.183038438
363,대치1동,0.159116052,0.43263389,0.78057844,0.608935957,0.34238968,0.213975878,0.776332733,0.47137749,0.31405329,0.286904938,0.241583041,0.271102493,0.228798048
364,대치4동,0.109947143,0.133222905,0.246133147,0.375277154,0.462186744,0.447054885,0.521923344,0.410861143,0.247963362,0.297164637,0.217765662,0.161804451,0.137278829
365,역삼1동,0.197358537,0.145482681,0.155902123,0.203590725,1.001394856,1.367769999,0.776032227,0.545273653,0.489734403,0.479096397,0.400293141,0.440429039,0.366076876
366,역삼2동,0.38822951,0.536160892,0.751747225,0.625232396,0.633570232,0.712167052,1.095085468,0.602960685,0.421649235,0.496775775,0.40312426,0.541657857,0.305064063
367,도곡1동,0.22569895,0.329651768,0.318478139,0.260972553,0.406231228,0.440698871,0.493810405,0.444513687,0.409481968,0.355629563,0.33387679,0.434251815,0.106772422
368,도곡2동,0.346231067,0.533981376,0.623875449,0.566243877,0.546520151,0.488470067,0.838401821,0.690794497,0.579831863,0.595989751,0.537378524,0.699974824,0.244051251
369,개포1동,0.044730049,0.073558659,0.076883239,0.070923939,0.106283471,0.09373176,0.123987469,0.143140621,0.196574093,0.200164258,0.171046503,0.243304982,0.198291641
370,개포4동,0.169018124,0.175178584,0.198081122,0.206345053,0.351266043,0.37287211,0.376476759,0.389797427,0.374798874,0.292365382,0.2403783,0.303732357,0.106772422
371,일원본동,0.263258533,0.423643388,0.484524579,0.364259843,0.352847368,0.405302791,0.582096689,0.463648312,0.453790103,0.301506674,0.314842067,0.473457774,0.076266016
372,일원1동,0.119849215,0.115514338,0.138816959,0.170538792,0.303778433,0.303190264,0.284192961,0.332824372,0.412443885,0.396064846,0.376222781,0.479634999,0.091519219
373,일원2동,0.193261128,0.190980074,0.233319274,0.224477711,0.268884627,0.345033231,0.396723349,0.331853257,0.409826644,0.405069477,0.305469422,0.344682059,0.076266016
374,수서동,0.143409318,0.069472067,0.064069366,0.091581397,0.222503764,0.318336472,0.219499027,0.302096916,0.547132293,0.535922336,0.530933185,0.761199941,0.076266016
375,세곡동,0.569539861,0.842382865,0.672995296,0.468465243,0.71693894,0.931137621,0.991318901,0.76239748,0.793618045,0.765432096,0.934623582,1.207407334,0.183038438
376,압구정동,0.304574074,0.378963313,0.386818796,0.326387837,0.437236876,0.466260877,0.632815805,0.506196611,0.51609976,0.694316769,0.684065524,0.808873995,0.259304454
377,청담동,0.317890654,0.35962011,0.287511279,0.285072921,0.517583463,0.594547509,0.61505183,0.512228871,0.48676914,0.502303838,0.428531854,0.669088701,0.366076876
378,대치2동,0.195309832,0.398851395,0.777108016,0.825609739,0.688182163,0.447577911,0.942132892,0.852278754,0.661498376,0.567858558,0.442651138,0.551869694,0.33557047
379,개포2동,0.252332109,0.258000185,0.30352862,0.340389003,0.399423823,0.377926328,0.472634793,0.488851662,0.479153904,0.35129543,0.273977955,0.339051963,0.137278829
380,풍납1동,0.135214499,0.098623091,0.120663972,0.121879002,0.241988226,0.286615301,0.277536563,0.350369516,0.40023625,0.360876403,0.315300011,0.269757622,0.122025625
381,풍납2동,0.330524332,0.294507075,0.269091336,0.259824917,0.509799889,0.572959953,0.521621842,0.477342857,0.521594362,0.44813766,0.422158838,0.440827909,0.122025625
382,거여1동,0.097313465,0.111700186,0.121731795,0.142765988,0.242400138,0.223048541,0.261533541,0.301117808,0.308370231,0.303482335,0.251353312,0.215108601,0.04575961
